,text,emotion,target_utterance,context_utterances,full_text,text_cleaned
179,Good morning momma! Good morning sweetie! God!,1,God!,Good morning momma! Good morning sweetie!,Good morning momma! Good morning sweetie! God!,gud murn muma gud murn sveti gud
180,"Achchha bolo, kya bana du aaj khaane mein? Monisha ne already mujhe tiffin mein aalo parathe diye hai..., aaj bhi. Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai.",1,"Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai.","Achchha bolo, kya bana du aaj khaane mein? Monisha ne already mujhe tiffin mein aalo parathe diye hai..., aaj bhi.","Achchha bolo, kya bana du aaj khaane mein? Monisha ne already mujhe tiffin mein aalo parathe diye hai..., aaj bhi. Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai.",achcha bulu kya bana du aj khane mein munisha ne alreadi mujh tifin mein alu parath diy hai aj bhi hav oh gud su suri su suri sahil hehe mujh ab bhi lagta hai ki tumh meri jarurat hai
181,"Madhu bhai, ye, chinese... Chinese kya? Roll hai holl. Camera? Hahaha, chinese camera, hahaha! Maya, mai inko pakad ke maaru kya?",0,"Maya, mai inko pakad ke maaru kya?","Madhu bhai, ye, chinese... Chinese kya? Roll hai holl. Camera? Hahaha, chinese camera, hahaha!","Madhu bhai, ye, chinese... Chinese kya? Roll hai holl. Camera? Hahaha, chinese camera, hahaha! Maya, mai inko pakad ke maaru kya?",madhu bhai ye chines chines kya rul hai hul camera hahaha chines camera hahaha maya mai inku pakad ke maru kya
182,"Monisha, Indravardhan ko cholesterol borderline ka problem hai. Jaanti hu mummy ji. To hume use border ke iss tarah laana hai, uss tarah nahi dhakelna!",0,"To hume use border ke iss tarah laana hai, uss tarah nahi dhakelna!","Monisha, Indravardhan ko cholesterol borderline ka problem hai. Jaanti hu mummy ji.","Monisha, Indravardhan ko cholesterol borderline ka problem hai. Jaanti hu mummy ji. To hume use border ke iss tarah laana hai, uss tarah nahi dhakelna!",munisha indravardhan ku chulesterul burderlin ka prublem hai janti hu mumi ji tu hume use burder ke tarah lana hai us tarah nahi dhakelna
183,Tumane fir se apane cheeze mere cupboard mein rakh de hai! Surprise ya Ridicule cheeze hi to rakkhi! Surprise ya Ridicule! Surprise ya Ridicule! I'll show you ek ya Ridicule!,0,Surprise ya Ridicule! Surprise ya Ridicule! I'll show you ek ya Ridicule!,Tumane fir se apane cheeze mere cupboard mein rakh de hai! Surprise ya Ridicule cheeze hi to rakkhi!,Tumane fir se apane cheeze mere cupboard mein rakh de hai! Surprise ya Ridicule cheeze hi to rakkhi! Surprise ya Ridicule! Surprise ya Ridicule! I'll show you ek ya Ridicule!,tuman fir se apan cheje mere cupbuard mein rakh de hai surpris ya ridicul cheje hi tu rakhi surpris ya ridicul surpris ya ridicul l shuv yu ek ya ridicul
184,"Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai. Aap aisa kyu kehe rahi hai mom? Nahi bhai, tum apane alag ghar mein..., jaisa bhi hai... Apani alag zindagi..., jaisi bhi hai, jee rahe ho.",2,"Nahi bhai, tum apane alag ghar mein..., jaisa bhi hai... Apani alag zindagi..., jaisi bhi hai, jee rahe ho.","Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai. Aap aisa kyu kehe rahi hai mom?","Haww!! Oh my God, I am so sorry, I am so sorry, Sahil. Hehe, mujhe ab bhi lagta hai ki tumhe meri jaroorat hai. Aap aisa kyu kehe rahi hai mom? Nahi bhai, tum apane alag ghar mein..., jaisa bhi hai... Apani alag zindagi..., jaisi bhi hai, jee rahe ho.",hav oh gud su suri su suri sahil hehe mujh ab bhi lagta hai ki tumh meri jarurat hai aap aisa kyu kehe rahi hai mum nahi bhai tum apan alag ghar mein jaisa bhi hai apani alag jindagi jaisi bhi hai je rahe hu
185,haan! Ismein se do to main bech Bhi Diye Sahil! Kahan lagau balcony main? Jahan ji Chahe laga do ab yah Ghar To Hamara raha hi nhi. Chalo Indravardhan.,3,Jahan ji Chahe laga do ab yah Ghar To Hamara raha hi nhi. Chalo Indravardhan.,haan! Ismein se do to main bech Bhi Diye Sahil! Kahan lagau balcony main?,haan! Ismein se do to main bech Bhi Diye Sahil! Kahan lagau balcony main? Jahan ji Chahe laga do ab yah Ghar To Hamara raha hi nhi. Chalo Indravardhan.,han ismein se du tu main bech bhi diy sahil kahan lagau balcuni main jahan ji chahe laga du ab yah ghar tu hamara raha hi nhi chalu indravardhan
186,"Inaki aankhon mein aisa jaado hai ki sab mantra mugdh ho jaae. Inake kapadon mein bhi vo jaado hai ki koi bhi dekhake hypnotize ho jaae. Sannaata suna, Indravardhan.",2,"Sannaata suna, Indravardhan.",Inaki aankhon mein aisa jaado hai ki sab mantra mugdh ho jaae. Inake kapadon mein bhi vo jaado hai ki koi bhi dekhake hypnotize ho jaae.,"Inaki aankhon mein aisa jaado hai ki sab mantra mugdh ho jaae. Inake kapadon mein bhi vo jaado hai ki koi bhi dekhake hypnotize ho jaae. Sannaata suna, Indravardhan.",inaki ankhun mein aisa jadu hai ki sab mantra mugdh hu jae inak kapadun mein bhi vu jadu hai ki kui bhi dekhak hypnutij hu jae sanata suna indravardhan
187,"everybody, pay attention. Sahil bhai, monisha bhabhi, beth jaiye. Dad, shanti diwas pe aap ye wala natak perform kijiega. natak ka naam kya hai naam hai- ‘shah jahan agar taj mahal banwane ka plan last minute pe cancel karke uski jagah seedhi saadhi south indian hotel banwate to’ ye naam hai",1,ye naam hai,"everybody, pay attention. Sahil bhai, monisha bhabhi, beth jaiye. Dad, shanti diwas pe aap ye wala natak perform kijiega. natak ka naam kya hai naam hai- ‘shah jahan agar taj mahal banwane ka plan last minute pe cancel karke uski jagah seedhi saadhi south indian hotel banwate to’","everybody, pay attention. Sahil bhai, monisha bhabhi, beth jaiye. Dad, shanti diwas pe aap ye wala natak perform kijiega. natak ka naam kya hai naam hai- ‘shah jahan agar taj mahal banwane ka plan last minute pe cancel karke uski jagah seedhi saadhi south indian hotel banwate to’ ye naam hai",everybudi pay atentiun sahil bhai munisha bhabhi beth jaiy dad shanti diva pe ap ye vala natak perfurm kijiega natak ka nam kya hai nam hai shah jahan agar taj mahal banvan ka plan last minut pe cancel kark uski jagah sedhi sadhi suth indian hutel banvat tu ye nam hai
188,whatever Poochho dropati Poochho aap ki tarah Main Agar aapko juaa ke Baazi Mein lagakar Har jao to no problem vaise to tumhare pass 4 4 spare husband hai. vaise Tum Ridicule Sad 4 husband ko da Mein Lagane Ki risk Le sakti ho,2,no problem vaise to tumhare pass 4 4 spare husband hai. vaise Tum Ridicule Sad 4 husband ko da Mein Lagane Ki risk Le sakti ho,whatever Poochho dropati Poochho aap ki tarah Main Agar aapko juaa ke Baazi Mein lagakar Har jao to,whatever Poochho dropati Poochho aap ki tarah Main Agar aapko juaa ke Baazi Mein lagakar Har jao to no problem vaise to tumhare pass 4 4 spare husband hai. vaise Tum Ridicule Sad 4 husband ko da Mein Lagane Ki risk Le sakti ho,vhatev puchu drupati puchu ap ki tarah main agar apku jua ke baji mein lagakar har jau tu nu prublem vais tu tumhar pa 4 4 spare husband hai vais tum ridicul sad 4 husband ku da mein lagan ki risk le sakti hu
189,"Maine bhi options diye daddy ji. 'Sargam, sangam, abhigam'. Sangam, sargam, abhigam', ye sab 'khokla' ke saath rhyme hote hai Monisha?",2,"Sangam, sargam, abhigam', ye sab 'khokla' ke saath rhyme hote hai Monisha?","Maine bhi options diye daddy ji. 'Sargam, sangam, abhigam'.","Maine bhi options diye daddy ji. 'Sargam, sangam, abhigam'. Sangam, sargam, abhigam', ye sab 'khokla' ke saath rhyme hote hai Monisha?",main bhi uptiun diy dadi ji sargam sangam abhigam sangam sargam abhigam ye sab khukla ke sath rhyme hute hai munisha
190,"I am not being funny Maya, Rosesh kutte ka dialogue bohot achchha bolta hai. Bete bolna to 'bhow bhow' vaala dialogue. kachare ke dher ko choomata firta ho, mumbai ke sadak pe ghoomata firta ho, 'bhow whow! bhow, whow!' Bhaukana suna! Gazab tha! Ridicule-Sad baar to vo municipality vaale aa gaye the, gunny sacks le ke, 'kaha hai kutta? kaka hai kutta?' poochate hue.",2,"Bhaukana suna! Gazab tha! Ridicule-Sad baar to vo municipality vaale aa gaye the, gunny sacks le ke, 'kaha hai kutta? kaka hai kutta?' poochate hue.","I am not being funny Maya, Rosesh kutte ka dialogue bohot achchha bolta hai. Bete bolna to 'bhow bhow' vaala dialogue. kachare ke dher ko choomata firta ho, mumbai ke sadak pe ghoomata firta ho, 'bhow whow! bhow, whow!'","I am not being funny Maya, Rosesh kutte ka dialogue bohot achchha bolta hai. Bete bolna to 'bhow bhow' vaala dialogue. kachare ke dher ko choomata firta ho, mumbai ke sadak pe ghoomata firta ho, 'bhow whow! bhow, whow!' Bhaukana suna! Gazab tha! Ridicule-Sad baar to vo municipality vaale aa gaye the, gunny sacks le ke, 'kaha hai kutta? kaka hai kutta?' poochate hue.",nut funi maya rusesh kute ka dialugu buhut achcha bulta hai bete bulna tu bhuv bhuv vala dialugu kachar ke dher ku chumata firta hu mumbai ke sadak pe ghumata firta hu bhuv vhuv bhuv vhuv bhaukana suna gajab tha ridicul sad bar tu vu municip vale gay guni sack le ke kaha hai kuta kaka hai kuta puchat hue
191,han han Tumhara boyfriend Sach Kaho na Pagal Hai. Tumhari Aankhen wow they are gorgeous really believe me and your hairstyle aur Mere Hoth,1,aur Mere Hoth,han han Tumhara boyfriend Sach Kaho na Pagal Hai. Tumhari Aankhen wow they are gorgeous really believe me and your hairstyle,han han Tumhara boyfriend Sach Kaho na Pagal Hai. Tumhari Aankhen wow they are gorgeous really believe me and your hairstyle aur Mere Hoth,han han tumhara buyfriend sach kahu na pagal hai tumhari aankhen vuv gurgeu reali believ yur hairstyl aur mere huth
192,"Well, he war a darling. Maya... Ye thoda sa chamboo tha, bondoo tha, down market tha, dha tha, but he was cute!",2,"Ye thoda sa chamboo tha, bondoo tha, down market tha, dha tha, but he was cute!","Well, he war a darling. Maya...","Well, he war a darling. Maya... Ye thoda sa chamboo tha, bondoo tha, down market tha, dha tha, but he was cute!",wel var darl maya ye thuda sa chambu tha bundu tha duvn market tha dha tha va cute
193,"Achchha garam garam rotiya to khaate the. Nahi, Baa bhejati thi na frozen chapathies kabhi kabhi. To vo garam kaise karte the? Aray tu kya hume aadimaanav samajhata hai kya!? Gufa mein rahate the hum log!? Kitne modern appliances the vaha par!",1,Aray tu kya hume aadimaanav samajhata hai kya!? Gufa mein rahate the hum log!? Kitne modern appliances the vaha par!,"Achchha garam garam rotiya to khaate the. Nahi, Baa bhejati thi na frozen chapathies kabhi kabhi. To vo garam kaise karte the?","Achchha garam garam rotiya to khaate the. Nahi, Baa bhejati thi na frozen chapathies kabhi kabhi. To vo garam kaise karte the? Aray tu kya hume aadimaanav samajhata hai kya!? Gufa mein rahate the hum log!? Kitne modern appliances the vaha par!",achcha garam garam rutiya tu khate nahi ba bhejati thi na frujen chapathi kabhi kabhi tu vu garam kais kart aray tu kya hume adimanav samajhata hai kya gufa mein rahat hum lug kitn mudern aplianc vaha par
194,"Indravardhan. Hmm. Kaise lag rahi hu mai? Taareef karu ya burai karu. Oh, taareef please, taareef... Oh ho ho, fir to sochna padega!",2,"Oh ho ho, fir to sochna padega!","Indravardhan. Hmm. Kaise lag rahi hu mai? Taareef karu ya burai karu. Oh, taareef please, taareef...","Indravardhan. Hmm. Kaise lag rahi hu mai? Taareef karu ya burai karu. Oh, taareef please, taareef... Oh ho ho, fir to sochna padega!",indravardhan hm kais lag rahi hu mai taref karu ya burai karu oh taref pleas taref oh hu hu fir tu suchna padega
195,Aur momma ko mai apni likhi hui nayi kavita dena chahta hu. Vo to best hai!,2,Vo to best hai!,Aur momma ko mai apni likhi hui nayi kavita dena chahta hu.,Aur momma ko mai apni likhi hui nayi kavita dena chahta hu. Vo to best hai!,aur muma ku mai apni likhi hui nayi kavita dena chahta hu vu tu best hai
196,"Haan haan karo karo, thik se pack karo tum to cahate hi ho na ki mein ghar chood ke chaali jayu? Tum bhi to Sarabhai family ki ho na. Rayis khoon aur middle class Monisha Singh. Singh Aluwaliya nahi, Singh Bedi nahi, Singh Bhatti bhi nahi sirf Singh. Phir to surname mein bhi bachat. To bachat karne mein kuch goonah hain kya? Mein saabjiwale se kaha ki ek kilo fhulkopi ki tis rupaya nahi dungi to ho gayi shuru. "" Beta bargain karna humain sobha nahi dete, its so middle class!"" Wo bhi saabziwaale ki saamne! Uske baad wo kya khaas bhao khaata. Pucho daddy se. Haan haan ek ghaante se ye behes kaarti rahi to phir wo jaake cauliflower ki tis rupaya se untis rupaya ki.",3,Haan haan ek ghaante se ye behes kaarti rahi to phir wo jaake cauliflower ki tis rupaya se untis rupaya ki.,"Haan haan karo karo, thik se pack karo tum to cahate hi ho na ki mein ghar chood ke chaali jayu? Tum bhi to Sarabhai family ki ho na. Rayis khoon aur middle class Monisha Singh. Singh Aluwaliya nahi, Singh Bedi nahi, Singh Bhatti bhi nahi sirf Singh. Phir to surname mein bhi bachat. To bachat karne mein kuch goonah hain kya? Mein saabjiwale se kaha ki ek kilo fhulkopi ki tis rupaya nahi dungi to ho gayi shuru. "" Beta bargain karna humain sobha nahi dete, its so middle class!"" Wo bhi saabziwaale ki saamne! Uske baad wo kya khaas bhao khaata. Pucho daddy se.","Haan haan karo karo, thik se pack karo tum to cahate hi ho na ki mein ghar chood ke chaali jayu? Tum bhi to Sarabhai family ki ho na. Rayis khoon aur middle class Monisha Singh. Singh Aluwaliya nahi, Singh Bedi nahi, Singh Bhatti bhi nahi sirf Singh. Phir to surname mein bhi bachat. To bachat karne mein kuch goonah hain kya? Mein saabjiwale se kaha ki ek kilo fhulkopi ki tis rupaya nahi dungi to ho gayi shuru. "" Beta bargain karna humain sobha nahi dete, its so middle class!"" Wo bhi saabziwaale ki saamne! Uske baad wo kya khaas bhao khaata. Pucho daddy se. Haan haan ek ghaante se ye behes kaarti rahi to phir wo jaake cauliflower ki tis rupaya se untis rupaya ki.",han han karu karu thik se pack karu tum tu cahat hi hu na ki mein ghar chud ke chali jayu tum bhi tu sarabhai famili ki hu na rayi khun aur midl cla munisha singh singh aluvaliya nahi singh bedi nahi singh bhati bhi nahi sirf singh phir tu surnam mein bhi bachat tu bachat karn mein kuch gunah hain kya mein sabjival se kaha ki ek kilu fhulkupi ki ti rupaya nahi dungi tu hu gayi shuru beta bargain karna humain subha nahi dete su midl cla wu bhi sabjival ki samn usk bad vu kya kha bhau khata puchu dadi se han han ek ghant se ye behe karti rahi tu phir vu jake caulifluv ki ti rupaya se unti rupaya ki
197,"Nahi mein Mom ko samjhaunga ki ainda wo bhindi ko Okra ya Ladies finger na kahe. Lekin sweetheart tum please ghar choorke mat jao. Mom ko pata chalega to wo naraj ho jayenge. Wo naraj nahi hoonge. Ulte mithaiya baantenge Sahil. Arey tum aisa kyu sochti ho? Mom aisa nahi hai! Chotti memsaab, baade memsaab ne aapke liye anjir ki barfi bheeji hain. Mom ko kisne bheeji ye baarfi? Ye to Maya ne aapne haato se khud banayi hain, pata nahi kis khussi mein hain na? Haan, aur saat mein gaana bhi ga rahi thi - Paanchi banu udti firu maast gagan mein Tumhe ye pata tha Manthra bai",3,Tumhe ye pata tha Manthra bai,"Nahi mein Mom ko samjhaunga ki ainda wo bhindi ko Okra ya Ladies finger na kahe. Lekin sweetheart tum please ghar choorke mat jao. Mom ko pata chalega to wo naraj ho jayenge. Wo naraj nahi hoonge. Ulte mithaiya baantenge Sahil. Arey tum aisa kyu sochti ho? Mom aisa nahi hai! Chotti memsaab, baade memsaab ne aapke liye anjir ki barfi bheeji hain. Mom ko kisne bheeji ye baarfi? Ye to Maya ne aapne haato se khud banayi hain, pata nahi kis khussi mein hain na? Haan, aur saat mein gaana bhi ga rahi thi - Paanchi banu udti firu maast gagan mein","Nahi mein Mom ko samjhaunga ki ainda wo bhindi ko Okra ya Ladies finger na kahe. Lekin sweetheart tum please ghar choorke mat jao. Mom ko pata chalega to wo naraj ho jayenge. Wo naraj nahi hoonge. Ulte mithaiya baantenge Sahil. Arey tum aisa kyu sochti ho? Mom aisa nahi hai! Chotti memsaab, baade memsaab ne aapke liye anjir ki barfi bheeji hain. Mom ko kisne bheeji ye baarfi? Ye to Maya ne aapne haato se khud banayi hain, pata nahi kis khussi mein hain na? Haan, aur saat mein gaana bhi ga rahi thi - Paanchi banu udti firu maast gagan mein Tumhe ye pata tha Manthra bai",nahi mein mum ku samjhaunga ki ainda vu bhindi ku okra ya ladi finger na kahe lekin svetheart tum pleas ghar churk mat jau mum ku pata chalega tu vu naraj hu jayeng wu naraj nahi hung ult mithaiya banteng sahil arey tum aisa kyu suchti hu mum aisa nahi hai chuti memsab bade memsab ne apk liy anjir ki barfi bheji hain mum ku kisn bheji ye barfi ye tu maya ne apn hatu se khud banayi hain pata nahi ki khusi mein hain na han aur sat mein gana bhi ga rahi thi panchi banu udti firu mast gagan mein tumh ye pata tha manthra bai
198,"Electricity ka grid hota hai na, vo kabhi kabhi trip ho jaata hai. I'll explain. Maan leejiye aap grid hai, mai voltage hu, to voltage jab yaha se paas hota hai... Dushyant, electricity kaise kaam karti hai hum samajh gaye!",0,"Dushyant, electricity kaise kaam karti hai hum samajh gaye!","Electricity ka grid hota hai na, vo kabhi kabhi trip ho jaata hai. I'll explain. Maan leejiye aap grid hai, mai voltage hu, to voltage jab yaha se paas hota hai...","Electricity ka grid hota hai na, vo kabhi kabhi trip ho jaata hai. I'll explain. Maan leejiye aap grid hai, mai voltage hu, to voltage jab yaha se paas hota hai... Dushyant, electricity kaise kaam karti hai hum samajh gaye!",electr ka grid huta hai na vu kabhi kabhi trip hu jata hai l explain man lejiy ap grid hai mai vultag hu tu vultag jab yaha se pa huta hai dushyant electr kais kam karti hai hum samajh gay
199,momma ye hai rita no no no no this is traditionally middle class uhh anyway jeeti raho akeli aayi ho tum dono ka toh bacha bhi haina,1,no no no no this is traditionally middle class uhh anyway jeeti raho akeli aayi ho tum dono ka toh bacha bhi haina,momma ye hai rita,momma ye hai rita no no no no this is traditionally middle class uhh anyway jeeti raho akeli aayi ho tum dono ka toh bacha bhi haina,muma ye hai rita nu nu nu nu traditiunali midl cla uh anyvay jeti rahu ake ayi hu tum dunu ka tuh bacha bhi haina
200,"Vintage Rosesh Maya! Mai kya kahu, mere paas shabd nahi hai Rosesh! Mere paas tamaatar!",2,Mere paas tamaatar!,"Vintage Rosesh Maya! Mai kya kahu, mere paas shabd nahi hai Rosesh!","Vintage Rosesh Maya! Mai kya kahu, mere paas shabd nahi hai Rosesh! Mere paas tamaatar!",vintag rusesh maya mai kya kahu mere pa shabd nahi hai rusesh mere pa tamatar
201,"Achchha sweetheart, mujhe bohot bookh lag hai. Tum baitho mai parosati hu, garam garam pakode banae hai. Kya! pakode bane hai! Mai bhi khaaunga! What rubbish, ghar pe wo minestrone soup aur khaboos bana hua hai, vo kaun khaaega? Haan vo kaun khaaega!",2,Haan vo kaun khaaega!,"Achchha sweetheart, mujhe bohot bookh lag hai. Tum baitho mai parosati hu, garam garam pakode banae hai. Kya! pakode bane hai! Mai bhi khaaunga! What rubbish, ghar pe wo minestrone soup aur khaboos bana hua hai, vo kaun khaaega?","Achchha sweetheart, mujhe bohot bookh lag hai. Tum baitho mai parosati hu, garam garam pakode banae hai. Kya! pakode bane hai! Mai bhi khaaunga! What rubbish, ghar pe wo minestrone soup aur khaboos bana hua hai, vo kaun khaaega? Haan vo kaun khaaega!",achcha svetheart mujh buhut bukh lag hai tum baithu mai parusati hu garam garam pakud bana hai kya pakud bane hai mai bhi khaunga rubish ghar pe vu minestrun sup aur khabu bana hua hai vu kaun khaega han vu kaun khaega
202,"Aaj mere bohot distinguished mehamaan aane vaale hai party mein. Maya! Ab to batao, kaun hai ye 'Distinguished namunaa' tumhara. Well, world famous hypnotist... Vasheekaran expert. Doctor Siddharth Annirudh Prasad. Hahaha, vo bandalabaaj fekuchand! Mind your language Indravardhan! ""Meri aakhon mein dekho, look into my eyes. Ab meri aavaaj sunkar tumhe, dheere dheere neend aane lagegi"". Aray aisi awaaj sunake kisio bhi neend aa jaae, fraud kahi ka.",2,"Aray aisi awaaj sunake kisio bhi neend aa jaae, fraud kahi ka.","Aaj mere bohot distinguished mehamaan aane vaale hai party mein. Maya! Ab to batao, kaun hai ye 'Distinguished namunaa' tumhara. Well, world famous hypnotist... Vasheekaran expert. Doctor Siddharth Annirudh Prasad. Hahaha, vo bandalabaaj fekuchand! Mind your language Indravardhan! ""Meri aakhon mein dekho, look into my eyes. Ab meri aavaaj sunkar tumhe, dheere dheere neend aane lagegi"".","Aaj mere bohot distinguished mehamaan aane vaale hai party mein. Maya! Ab to batao, kaun hai ye 'Distinguished namunaa' tumhara. Well, world famous hypnotist... Vasheekaran expert. Doctor Siddharth Annirudh Prasad. Hahaha, vo bandalabaaj fekuchand! Mind your language Indravardhan! ""Meri aakhon mein dekho, look into my eyes. Ab meri aavaaj sunkar tumhe, dheere dheere neend aane lagegi"". Aray aisi awaaj sunake kisio bhi neend aa jaae, fraud kahi ka.",aaj mere buhut distinguish mehaman ane vale hai parti mein maya ab tu batau kaun hai ye distinguish namuna tumhara wel vurld famu hypnutist vashekaran expert ductur sidharth anirudh prasad hahaha vu bandalabaj fekuchand mind yur languag indravardhan meri akhun mein dekhu luk intu eye ab meri avaj sunkar tumh dhere dhere nend ane lagegi aray aisi avaj sunak kisiu bhi nend jae fraud kahi ka
203,Haan sure….but tumhe pata hain na uske bohot kharch karne ka style. New York ka koi boutique mein se gown khareedenge to bag free mangegi. Paris ki koi salon mein ja kar ke bolegi dono arm waxing karana hain sahi bol na. Relax Momma..bhabhi ne galti se passport de di hain raddi waale ko. Good! Noo that is worse. Agar yahan rahegi to Manglu baba ya Lakkar baba ke naam pe mandir banwayegi. Vada Paw restaurant ka chain kholegi. Oh God we are in serious trouble Rosesh.,0,Good! Noo that is worse. Agar yahan rahegi to Manglu baba ya Lakkar baba ke naam pe mandir banwayegi. Vada Paw restaurant ka chain kholegi. Oh God we are in serious trouble Rosesh.,Haan sure….but tumhe pata hain na uske bohot kharch karne ka style. New York ka koi boutique mein se gown khareedenge to bag free mangegi. Paris ki koi salon mein ja kar ke bolegi dono arm waxing karana hain sahi bol na. Relax Momma..bhabhi ne galti se passport de di hain raddi waale ko.,Haan sure….but tumhe pata hain na uske bohot kharch karne ka style. New York ka koi boutique mein se gown khareedenge to bag free mangegi. Paris ki koi salon mein ja kar ke bolegi dono arm waxing karana hain sahi bol na. Relax Momma..bhabhi ne galti se passport de di hain raddi waale ko. Good! Noo that is worse. Agar yahan rahegi to Manglu baba ya Lakkar baba ke naam pe mandir banwayegi. Vada Paw restaurant ka chain kholegi. Oh God we are in serious trouble Rosesh.,han sure tumh pata hain na usk buhut kharch karn ka style nev yurk ka kui butiku mein se guvn kharedeng tu bag fre mangegi pari ki kui salun mein ja kar ke bulegi dunu arm vax karana hain sahi bul na relax muma bhabhi ne galti se paspurt de di hain radi vale ku gud nu vurs agar yahan rahegi tu manglu baba ya lakar baba ke nam pe mandir banvayegi vada pav restaur ka chain khulegi oh gud seriu trubl rusesh
204,"Stop it you boys…oh god mujhe bilkul déjà vu ka experience ho raha hain jaise ki ye scene aise pehele hi hua. You know hum teeno tum, main aur Rosesh in a sophisticated breakfast, brotherhood, pure happiness….aur achanak mera sapna choor choor ho jata hain Mummyji Ho gaya na churchur",2,Ho gaya na churchur,"Stop it you boys…oh god mujhe bilkul déjà vu ka experience ho raha hain jaise ki ye scene aise pehele hi hua. You know hum teeno tum, main aur Rosesh in a sophisticated breakfast, brotherhood, pure happiness….aur achanak mera sapna choor choor ho jata hain Mummyji","Stop it you boys…oh god mujhe bilkul déjà vu ka experience ho raha hain jaise ki ye scene aise pehele hi hua. You know hum teeno tum, main aur Rosesh in a sophisticated breakfast, brotherhood, pure happiness….aur achanak mera sapna choor choor ho jata hain Mummyji Ho gaya na churchur",stup yu buy uh gud mujh bilkul déjà vu ka experi hu raha hain jais ki ye scene ais pehel hi hua yu knuv hum tenu tum main aur rusesh suphist breakfast brutherhud pure hapin aur achanak mera sapna chur chur hu jata hain mumyji hu gaya na churchur
205,"Jo Sawal Apne dad Se Kiya Vahi Sawal main aapse karta hun momma, agar Bhagwan aap se poochenge Ki Kisi Ek Ki Jaan Ko dena jaruri hai, to aap meri hi jaan dengi na? No no I swear baby no! Never! Mein Tumhari Jaan Kabhi Na deti! Main Bhagwan ko samjhati Ki Bhagwan rosesh to aap hi ki Den Hai Duniya ko, aap uski Jaan mat Lijiye. Uske Badle Samne ke ghar ko dekhiye. Vahan Ek Jaan Hai Jo Sara Din Bhains ki tarah TV ke samne Padi rahti hai!",3,"No no I swear baby no! Never! Mein Tumhari Jaan Kabhi Na deti! Main Bhagwan ko samjhati Ki Bhagwan rosesh to aap hi ki Den Hai Duniya ko, aap uski Jaan mat Lijiye. Uske Badle Samne ke ghar ko dekhiye. Vahan Ek Jaan Hai Jo Sara Din Bhains ki tarah TV ke samne Padi rahti hai!","Jo Sawal Apne dad Se Kiya Vahi Sawal main aapse karta hun momma, agar Bhagwan aap se poochenge Ki Kisi Ek Ki Jaan Ko dena jaruri hai, to aap meri hi jaan dengi na?","Jo Sawal Apne dad Se Kiya Vahi Sawal main aapse karta hun momma, agar Bhagwan aap se poochenge Ki Kisi Ek Ki Jaan Ko dena jaruri hai, to aap meri hi jaan dengi na? No no I swear baby no! Never! Mein Tumhari Jaan Kabhi Na deti! Main Bhagwan ko samjhati Ki Bhagwan rosesh to aap hi ki Den Hai Duniya ko, aap uski Jaan mat Lijiye. Uske Badle Samne ke ghar ko dekhiye. Vahan Ek Jaan Hai Jo Sara Din Bhains ki tarah TV ke samne Padi rahti hai!",ju saval apn dad se kiya vahi saval main aps karta hun muma agar bhagvan ap se pucheng ki kisi ek ki jan ku dena jaruri hai tu ap meri hi jan dengi na nu nu svear babi nu never mein tumhari jan kabhi na deti main bhagvan ku samjhati ki bhagvan rusesh tu ap hi ki den hai duniya ku ap uski jan mat lijiy usk badl samn ke ghar ku dekhiy vahan ek jan hai ju sara din bhain ki tarah tv ke samn padi rahti hai
206,"Dad! Maine jab bachelorhood ki maang ki tab mujhe laga, chalo, kuch dinno ke liye to Monisha se peecha choota. Lekin yaha par dekhiye, moonchho vaale Monisha ke saath din gujaarne pad rahe hai.",0,"Lekin yaha par dekhiye, moonchho vaale Monisha ke saath din gujaarne pad rahe hai.","Dad! Maine jab bachelorhood ki maang ki tab mujhe laga, chalo, kuch dinno ke liye to Monisha se peecha choota.","Dad! Maine jab bachelorhood ki maang ki tab mujhe laga, chalo, kuch dinno ke liye to Monisha se peecha choota. Lekin yaha par dekhiye, moonchho vaale Monisha ke saath din gujaarne pad rahe hai.",dad main jab bachelurhud ki mang ki tab mujh laga chalu kuch dinu ke liy tu munisha se pecha chuta lekin yaha par dekhiy munchu vale munisha ke sath din gujarn pad rahe hai
